บริษัท แมทริกซ์ ฮอนด้า ออโตโมบิล,101 หมู่ที่ 7 ตำบลหนองป่าครั่ง,เมืองเชียงใหม่,053-851000
บริษัท อุตรดิตถ์ ฮอนด้าคาร์ส์ จำกัด,222 ถนนพิษณุโลก-เด่นชัย ตำบลป่าเซ่า,เมืองอุตรดิตถ์,0 5544 1863-6
บริษัท อีซูซุนครหลวง จำกัด,122 หมู่ที่ 3 ถนนรัตนาธิเบศร์ ตำบลไทรม้า,เมืองนนทบุรี,02-9218650
บริษัท เลกซัส ออโต้ ซิตี้ จำกัด,14/459 หมู่ที่ 4 ถนนรามอินทรา แขวงอนุสาวรีย์,บางเขน,"083-0548828, 02-5211111"
บริษัท โตโยต้าเมืองนนท์ จำกัด,129 หมู่ที่ 6 ถนนชัยพฤกษ์ ตำบลคลองพระอุดม,ปากเกร็ด,"02-583-3939,02-9522999"
บริษัท บางกอกออโตโมบิล จำกัด,466 ถนนศรีนครินทร์ แขวงหนองบอน,ประเวศ,02-7434600
บริษัท เอ็ม.เค.ออโต้เอซ จำกัด,141/1 ถนนพระราม 2 แขวงแสมดำ,บางขุนเทียน,"02-4160808,081-7531880"
บริษัท มงคลออโต้เซลส์ จำกัด,78/4 หมู่ที่ 4 ถนนรามอินทรา แขวงอนุสาวรีย์,บางเขน,"02-9708576-9, 087-0141629"
บริษัท วี แอนด์ ซี ออโตโมบิล จำกัด,56 ถนนเทียมร่วมมิตร แขวงห้วยขวาง,ห้วยขวาง,02-8318900
บริษัท มาสด้า ซิตี้ จำกัด,2363/1 ถนนรามคำแหง(สุขุมวิท 71) แขวงหัวหมาก,บางกะปิ,"02-7185060,02-7136020"
บริษัท ซีจี ออโตโมบิล จำกัด,396/1 ถนนรามคำแหง แขวงสะพานสูง,สะพานสูง,02-3722255
บริษัท พระราม 7 กรุ๊ป จำกัด,1530 ถนนประชาราษฎร์ 1 แขวงวงศ์สว่าง,บางซื่อ,02-1193999
บริษัท เอ็ม ออโต้ การาจ จำกัด,15 ถนนบรมราชชนนี แขวงศาลาธรรมสพน์,ทวีวัฒนา,02-4479393
บริษัท ที.พี.เค.ออโต้ เพนท์ จำกัด,1557/1 ถนนกาญจนาภิเษก แขวงบางไผ่,บางแค,02-4545883-4
บริษัท อนุภาษและบุตร จำกัด,75/71 หมู่ที่ 1 ถนนพระภูเก็ตแก้ว ตำบลกะทู้,กะทู้,076-371888-9
บริษัท มิตรแท้ออโตโมบิล จำกัด,4/18 หมู่ที่ 1 ถนนเลี่ยงเมือง ตำบลบางกุ้ง,เมืองสุราษฎร์ธานี,077-600109
บริษัท ชูเกียรติยนต์ หาดใหญ่ จำกัด,4/4 หมู่ที่ 1 ตำบลเขารูปช้าง,เมืองสงขลา,074-447500
บริษัท ชูเกียรติยนต์ หาดใหญ่,108/2 หมู่ที่ 3 ตำบลคลองแห,หาดใหญ่,"089-6583291, 074-262222"
บริษัท ทีทีซี มอเตอร์ส จำกัด,2297 ถนนพัฒนาการ แขวงสวนหลวง,สวนหลวง,02-3228575
บริษัท เบนซ์ ตลิ่งชัน จำกัด,"134,136 ถนนบรมราชชนนี แขวงตลิ่งชัน",ตลิ่งชัน,"02-4334336, 02-4088377"
บริษัท เอ็มบีเอส ออโต้ เซ็นเตอร์,134 ถนนพระราม 2 แขวงแสมดำ,บางขุนเทียน,02-4160100-8
บริษัท เบนซ์บีเคเคกรุ๊ป จำกัด,3888 ถนนสุขุมวิท แขวงบางนา,บางนา,02-7452222
บริษัท สตาร์ แฟลก จำกัด,61 ถนนวิภาวดีรังสิต แขวงสามเสนใน,พญาไท,"081-9188992, 02-2486699"
บริษัท เบนซ์ ราชครู จำกัด,1195 ถนนพหลโยธิน แขวงสามเสนใน,พญาไท,02-6171212
บริษัท เอ็น.เค.เซอร์วิส เซ็นเตอร์,88/5 หมู่ที่ 19 ถนนกาญจนาภิเษก,ทวีวัฒนา,086-4147888
บริษัท เบนซ์ อุดรธานี จำกัด,155/5 หมู่ที่ 14 ตำบลหมากแข้ง,เมืองอุดรธานี,042-249416-22
บริษัท เจริญมอเตอร์เบนซ์ จำกัด,3 ถนนรัตนโกสินทร์ ตำบลศรีภูมิ,เมืองเชียงใหม่,053-217652
บริษัท พิษณุโลกนามทอง จำกัด,342/3 หมู่ที่ 7 ถนนมิตรภาพ ตำบลสมอแข,เมืองพิษณุโลก,"055-223999, 055-5224053-4"
บริษัท ที เอส ที เมอร์เซเดสเบนซ์,95 หมู่ที่ 5 ถนนทรงพล ตำบลหนองอ้อ,บ้านโป่ง,032-341564
บริษัท เบนซ์เพชรรัตน์ จำกัด,499 ถนนเพชรเกษม ตำบลห้วยจรเข้,เมืองนครปฐม,034-284381-4
